PERFIL;IPD;PD;FAMA;ENGAJ;VALENCIA;MOD;RANKING;INTERESSE
Alexandre Kalil;1301375;400000;139018;100000;100000;100000;14;100000
Jair Bolsonaro;7667229;400000;287206;400000;368947;400000;1;400000
Arthur Lira;4952072;400000;400000;155989;386373;205233;2;229181
Luciano Huck;4667796;400000;346550;253212;400000;185488;3;141917
Lula;4642199;400000;167296;227071;242344;199941;4;386725
Rodrigo Pacheco;3069423;400000;191528;113180;395994;127972;5;199892
Ciro Gomes;2872424;400000;151972;161994;334988;141457;6;166082
Fernando Haddad;2590419;400000;151307;127077;378555;127669;7;146019
Guilherme Boulos;2488140;400000;163966;151717;331500;130199;8;108624
Joao Doria;2228422;400000;110606;119677;222852;108026;9;211828
Rodrigo Maia;1957305;400000;116713;146109;122445;105310;10;176299
Luiza Trajano;1928292;400000;160853;109379;100000;103510;11;178302
Sergio Moro;1910003;400000;100000;118509;100000;150663;12;180026
Flavio Dino;1846230;400000;138584;106242;245361;108153;13;121458
Alexandre Kalil;1248559;400000;129018;100000;100000;100000;14;100000
Jair Bolsonaro;7550202;400000;275610;400000;370429;400000;1;389438
Lula;5137824;400000;161834;241041;381146;207081;2;400000
Arthur Lira;4864452;400000;400000;155309;385720;218609;3;202383
Luciano Huck;4738253;400000;341116;259371;400000;197949;4;141947
Ciro Gomes;2882309;400000;145830;162091;320076;147691;5;174218
Rodrigo Pacheco;2714129;400000;178468;107648;390400;115575;6;168245
Fernando Haddad;2572952;400000;143958;124836;372921;133710;7;149010
Guilherme Boulos;2434601;400000;157280;143097;348965;123730;8;112585
Joao Doria;2204170;400000;112158;118326;228809;108504;9;204446
Luiza Trajano;2019488;400000;160014;109826;100000;102916;10;195406
Rodrigo Maia;1896681;400000;111437;146809;122394;105754;11;169373
Sergio Moro;1872867;400000;100000;117486;100000;145031;12;179585
Flavio Dino;1834039;400000;132703;107105;244562;110635;13;122021
Alexandre Kalil;1220679;400000;123739;100000;100000;100000;14;100000
Jair Bolsonaro;7540103;400000;275557;400000;393834;400000;1;377685
Lula;5191748;400000;156279;269378;370059;196848;2;400000
Arthur Lira;4704008;400000;400000;144672;385230;218876;3;184632
Luciano Huck;4669267;400000;328839;273198;400000;192018;4;132520
Ciro Gomes;2770778;400000;140229;157010;313399;144564;5;170509
Rodrigo Pacheco;2570657;400000;176517;101460;389140;113132;6;153611
Fernando Haddad;2482728;400000;138266;122754;380135;130331;7;140417
Guilherme Boulos;2374709;400000;152430;137301;371690;115765;8;109925
Joao Doria;2101602;400000;110370;113374;222183;103789;9;200042
Luiza Trajano;2048904;400000;161744;110799;100000;100000;10;200678
Alexandre Kalil;2026588;400000;122455;142335;100000;211525;11;100000
Rodrigo Maia;1975704;400000;105940;158953;122356;121954;12;161503
Sergio Moro;1842558;400000;100000;109221;100000;167258;13;162382
Flavio Dino;1722694;400000;128784;100000;244394;105168;14;118175
Jair Bolsonaro;7755189;400000;292437;400000;394065;400000;1;400000
Lula;5099128;400000;163804;244310;369256;199575;2;399845
Arthur Lira;4594602;400000;400000;139860;384386;214167;3;174710
Luciano Huck;3970024;400000;352087;189470;400000;113984;4;142551
Ciro Gomes;2844550;400000;144532;168503;297503;143925;5;175261
Rodrigo Pacheco;2567767;400000;178604;101583;388285;113142;6;151366
Fernando Haddad;2495147;400000;139859;122083;356319;139641;7;143520
Guilherme Boulos;2274968;400000;161517;116498;351403;115518;8;113723
Luiza Trajano;2216216;400000;178975;110446;100000;100000;9;214618
Joao Doria;2125358;400000;116658;110611;216960;103613;10;203567
Alexandre Kalil;2033360;400000;126875;139932;100000;210974;11;100000
Rodrigo Maia;1990421;400000;111797;152666;122290;122065;12;164950
Sergio Moro;1893742;400000;100000;109028;100000;166926;13;171990
Flavio Dino;1707961;400000;132332;100000;245250;105208;14;111815
Jair Bolsonaro;7830880;400000;306201;400000;395313;400000;1;400000
Lula;5099286;400000;173420;254759;369256;209338;2;371302
Arthur Lira;4290151;400000;400000;136353;384386;178404;3;156649
Luciano Huck;4065224;400000;368041;190684;400000;113631;4;143582
Ciro Gomes;2997465;400000;151115;185541;292383;142092;5;182787
Fernando Haddad;2548603;400000;146971;119535;361289;144131;6;142733
Rodrigo Pacheco;2477822;400000;198955;100040;357797;103631;7;139490
Guilherme Boulos;2427734;400000;172712;124084;359734;120499;8;114566
Luiza Trajano;2319594;400000;186213;117449;100000;100000;9;219079
Joao Doria;2173193;400000;124308;113604;218660;104253;10;200532
Alexandre Kalil;2110564;400000;135832;140794;100000;215855;11;100000
Sergio Moro;1890406;400000;100000;110704;100000;174802;12;162520
Flavio Dino;1747270;400000;139335;100000;248533;105275;13;110764
Rodrigo Maia;1657543;400000;117216;109738;100000;133442;14;143523
Jair Bolsonaro;7898055;400000;319018;400000;395098;400000;1;400000
Lula;5068700;400000;197888;241851;370066;204091;2;360442
Luciano Huck;4176802;400000;361415;214716;400000;110310;3;148205
Arthur Lira;3387175;400000;400000;113135;100000;171064;4;147849
Ciro Gomes;3038181;400000;171370;174438;306921;135026;5;182523
Fernando Haddad;2709213;400000;170303;119647;360505;148379;6;145742
Rodrigo Pacheco;2613179;400000;229643;100000;358538;106068;7;132242
Guilherme Boulos;2546484;400000;188671;123142;359980;128590;8;114190
Joao Doria;2255156;400000;134021;114643;216366;106985;9;203425
Luiza Trajano;2251925;400000;186091;116431;100000;100000;10;208188
Alexandre Kalil;2195301;400000;158222;142054;100000;207891;11;100000
Sergio Moro;1948898;400000;100000;113038;100000;187478;12;159015
Flavio Dino;1864472;400000;161199;100710;237613;109489;13;111183
Rodrigo Maia;1788255;400000;134424;116064;100000;147761;14;131134
Jair Bolsonaro;7927713;400000;324756;400000;394829;400000;1;400000
Lula;4583145;400000;197080;206239;372755;188128;2;324447
Luciano Huck;4168289;400000;369163;212810;400000;106511;3;144808
Arthur Lira;3336563;400000;400000;118811;100000;166680;4;137048
Ciro Gomes;2984609;400000;172712;180925;296890;139820;5;165043
Fernando Haddad;2836729;400000;170797;134123;363754;158767;6;142380
Rodrigo Pacheco;2642953;400000;243806;100000;356132;106282;7;125063
Guilherme Boulos;2570646;400000;190495;125817;355978;132793;8;111936
Alexandre Kalil;2376307;400000;163201;144811;246913;166056;9;100000
Joao Doria;2104154;400000;131689;112782;206034;105076;10;186793
Luiza Trajano;2034582;400000;179981;109718;100000;100000;11;182088
Sergio Moro;2007912;400000;100000;120256;100000;185351;12;164100
Flavio Dino;1876432;400000;165147;100607;238732;109392;13;109313
Rodrigo Maia;1780753;400000;136127;123423;100000;146547;14;121804
Jair Bolsonaro;7873056;400000;312364;400000;399321;400000;1;400000
Luciano Huck;3993889;400000;323257;224081;400000;117336;2;135582
Lula;3961767;400000;179598;176987;329071;171558;3;293849
Arthur Lira;3490837;400000;400000;130619;100000;186063;4;134833
Ciro Gomes;2863435;400000;161443;175544;331459;132736;5;151222
Fernando Haddad;2676871;400000;158696;128824;364263;159184;6;130105
Rodrigo Pacheco;2651564;400000;242736;100000;369680;108364;7;119915
Guilherme Boulos;2533499;400000;176696;130909;364273;133853;8;108597
Alexandre Kalil;2222051;400000;149575;141794;248696;152505;9;100000
Joao Doria;2019018;400000;129412;110769;205373;104721;10;176437
Sergio Moro;1990765;400000;100000;123785;100000;191625;11;151742
Flavio Dino;1840834;400000;155411;101550;242269;110845;12;108333
Luiza Trajano;1792877;400000;159357;102193;100000;100000;13;166123
Rodrigo Maia;1696685;400000;135535;121598;100000;136813;14;118119
Jair Bolsonaro;7837554;400000;305333;400000;400000;400000;1;400000
Lula;4314747;400000;187796;198186;369245;184321;2;298575
Luciano Huck;3907537;400000;313749;209041;397457;126706;3;137033
Arthur Lira;3705407;400000;400000;151500;100000;204167;4;135269
Ciro Gomes;2804685;400000;169703;150626;345300;137161;5;148445
Fernando Haddad;2679759;400000;168444;122716;369343;158013;6;126574
Rodrigo Pacheco;2664071;400000;257993;100000;326751;115612;7;119554
Guilherme Boulos;2661062;400000;187244;129427;345903;153752;8;112636
Sergio Moro;2183004;400000;100000;128693;100000;225003;9;150575
Alexandre Kalil;2025804;400000;158042;122528;249158;126735;10;100000
Joao Doria;1985858;400000;130342;108336;209470;106498;11;168772
Flavio Dino;1904599;400000;164791;100745;242612;113475;12;109146
Luiza Trajano;1770210;400000;161983;100271;100000;100000;13;161579
Rodrigo Maia;1600260;400000;141664;113010;100000;121787;14;117622
Jair Bolsonaro;7865225;400000;310573;400000;400000;400000;1;400000
Lula;4360722;400000;188092;203532;376688;184932;2;297296
Luciano Huck;3973878;400000;315432;223633;397847;127909;3;131130
Arthur Lira;3757204;400000;400000;151535;100000;205576;4;143170
Guilherme Boulos;2747625;400000;190158;132455;364038;154494;5;113791
Fernando Haddad;2736193;400000;168880;127358;388031;156674;6;124708
Ciro Gomes;2704206;400000;171753;125786;361645;134928;7;148989
Rodrigo Pacheco;2641002;400000;256352;101635;322565;113372;8;119153
Sergio Moro;2179639;400000;100000;130171;100000;226642;9;146980
Alexandre Kalil;2040465;400000;158528;124252;249116;127190;10;100000
Joao Doria;1941877;400000;130514;109696;205746;106378;11;161098
Flavio Dino;1900890;400000;165665;102459;237116;112997;12;108702
Rodrigo Maia;1769156;400000;137497;132576;138744;121629;13;115245
Luiza Trajano;1736789;400000;160452;100000;100000;100000;14;157346
Jair Bolsonaro;7890325;400000;315325;400000;400000;400000;1;400000
Lula;4331377;400000;186278;195060;379431;180036;2;305692
Luciano Huck;3855934;400000;317623;195053;395794;132330;3;134052
Arthur Lira;3709937;400000;400000;142872;100000;198927;4;149634
Guilherme Boulos;2698769;400000;193798;125565;361527;148450;5;115268
Fernando Haddad;2689096;400000;165214;126037;394252;152469;6;122286
Ciro Gomes;2675581;400000;173214;129924;349633;138556;7;140138
Rodrigo Pacheco;2622785;400000;257285;104524;309873;112135;8;118642
Alexandre Kalil;2266173;400000;156014;144594;248963;151223;9;100000
Sergio Moro;2163454;400000;100000;125055;100000;223008;10;152618
Joao Doria;1897042;400000;134067;110754;205875;106564;11;148476
Flavio Dino;1891770;400000;163365;104451;237569;112485;12;107484
Luiza Trajano;1716379;400000;162415;100000;100000;100000;13;151868
Rodrigo Maia;1678868;400000;132529;126444;138701;116988;14;114335
Jair Bolsonaro;7953680;400000;327321;400000;400000;400000;1;400000
Lula;4434188;400000;191559;204308;380649;183958;2;305515
Luciano Huck;3768049;400000;330173;166776;392252;139603;3;130318
Arthur Lira;3689850;400000;400000;133884;100000;210786;4;144424
Guilherme Boulos;2797476;400000;200669;139216;364794;145067;5;114151
Rodrigo Pacheco;2738879;400000;268764;103191;336738;114260;6;116453
Ciro Gomes;2734345;400000;179041;137616;336836;144896;7;136982
Fernando Haddad;2608420;400000;169102;119938;388152;148737;8;116492
Sergio Moro;2436592;400000;100000;141785;100000;263279;9;147533
Alexandre Kalil;2240958;400000;158217;134766;248532;155221;10;100000
Flavio Dino;1891721;400000;166677;102411;243410;111768;11;104596
Joao Doria;1857863;400000;141031;110479;204067;107946;12;134753
Luiza Trajano;1664504;400000;163006;100000;100000;100000;13;142081
Rodrigo Maia;1658764;400000;132543;124462;138589;118655;14;111295
Jair Bolsonaro;8123998;400000;359570;400000;400000;400000;1;400000
Lula;4497426;400000;223838;199132;379358;161939;2;312294
Luciano Huck;4039393;400000;380926;171582;390863;132275;3;133273
Arthur Lira;3522786;400000;400000;129432;100000;179056;4;148106
Guilherme Boulos;2984171;400000;235747;137194;372104;141509;5;116581
Rodrigo Pacheco;2959183;400000;306540;102636;336507;111103;6;123693
Ciro Gomes;2923275;400000;210599;136014;345960;139509;7;143578
Fernando Haddad;2689956;400000;194835;115131;386965;144507;8;116070
Alexandre Kalil;2493098;400000;180126;143902;248984;171459;9;100000
Sergio Moro;2186085;400000;100000;134518;100000;242972;10;128836
Flavio Dino;2036920;400000;195663;101800;243184;110620;11;104958
Joao Doria;1872302;400000;152687;106731;196566;106126;12;135049
Luiza Trajano;1845474;400000;197159;100000;100000;100000;13;142187
Rodrigo Maia;1661442;400000;136359;124154;138644;114857;14;111930
Jair Bolsonaro;8251635;400000;383738;400000;400000;400000;1;400000
Lula;4444176;400000;229802;185711;386085;164602;2;305587
Luciano Huck;4043057;400000;400000;161842;396444;122442;3;132484
Arthur Lira;3036723;400000;356943;123874;100000;141514;4;141903
Rodrigo Pacheco;2963210;400000;290848;102489;350782;110197;5;134031
Guilherme Boulos;2962560;400000;238307;144274;336759;144662;6;115354
Ciro Gomes;2925485;400000;219959;131605;320539;135954;7;153770
Fernando Haddad;2692930;400000;199622;114254;385418;143720;8;114371
Alexandre Kalil;2553722;400000;183218;144257;248480;179960;9;100000
Sergio Moro;2263927;400000;100000;134830;100000;260386;10;126521
Flavio Dino;2045339;400000;203176;100925;244210;107893;11;102329
Joao Doria;1888671;400000;159310;106652;196417;106048;12;131952
Luiza Trajano;1800388;400000;190606;100000;100000;100000;13;140322
Rodrigo Maia;1569873;400000;133252;118603;131973;110606;14;110931
Jair Bolsonaro;8285402;400000;390131;400000;400000;400000;1;400000
Lula;5134462;400000;285837;258872;373403;188565;2;284841
Luciano Huck;4170795;400000;400000;191211;392123;120579;3;128838
Arthur Lira;3463995;400000;359331;111993;363408;119957;4;134825
Guilherme Boulos;3171293;400000;239995;183183;337324;138022;5;117076
Rodrigo Pacheco;3048398;400000;298475;101961;348446;108852;6;144784
Ciro Gomes;3021985;400000;225916;138692;331428;139777;7;149989
Fernando Haddad;2660185;400000;201962;113302;380692;140157;8;112577
Alexandre Kalil;2480358;400000;186538;143628;247916;163155;9;100000
Sergio Moro;2069217;400000;100000;133876;100000;226339;10;123827
Flavio Dino;2027272;400000;204683;100653;243029;105911;11;100282
Joao Doria;1941285;400000;166504;109051;189390;105028;12;136042
Luiza Trajano;1767884;400000;187709;100000;100000;100000;13;137260
Rodrigo Maia;1633995;400000;143955;124004;131852;107754;14;109428
Jair Bolsonaro;8283086;400000;389693;400000;400000;400000;1;400000
Lula;5391054;400000;303216;294247;373022;175712;2;289992
Luciano Huck;3981354;400000;400000;179478;348756;116557;3;129275
Arthur Lira;3495566;400000;366129;112539;363311;119208;4;134220
Guilherme Boulos;3141893;400000;251712;168246;329866;138681;5;118636
Rodrigo Pacheco;3053415;400000;296774;102730;340700;108388;6;150226
Ciro Gomes;2940138;400000;217593;141542;306286;140150;7;150751
Fernando Haddad;2560434;400000;196220;109561;379792;130434;8;113266
Alexandre Kalil;2485503;400000;182206;149890;247861;159677;9;101796
Sergio Moro;2075107;400000;100000;139003;100000;219468;10;125907
Flavio Dino;2011559;400000;201350;100625;245225;105591;11;100000
Joao Doria;1949864;400000;160047;113165;189467;104548;12;139851
Luiza Trajano;1791219;400000;185055;100000;100000;100000;13;143907
Rodrigo Maia;1494419;400000;133592;115751;114829;107729;14;110035
Jair Bolsonaro;8295239;400000;391994;400000;400000;400000;1;400000
Lula;5410614;400000;308835;272428;378768;184548;2;299924
Luciano Huck;3712702;400000;400000;133894;376460;106925;3;124829
Arthur Lira;3516770;400000;372686;115923;363490;119300;4;128222
Guilherme Boulos;3121647;400000;251871;166883;307813;145479;5;119514
Rodrigo Pacheco;3102136;400000;295450;106169;347191;110427;6;152008
Ciro Gomes;2905791;400000;216719;138152;294318;144430;7;150134
Fernando Haddad;2778357;400000;202547;122778;368368;156948;8;113389
Sergio Moro;2173142;400000;100000;143583;100000;234161;9;125315
Flavio Dino;2038314;400000;200084;104111;245208;108235;10;100000
Joao Doria;2019750;400000;165080;115741;188524;105046;11;144883
Luiza Trajano;1759771;400000;177195;104251;100000;100281;12;141112
Alexandre Kalil;1539372;400000;181844;100000;100000;100000;13;102104
Rodrigo Maia;1520851;400000;134958;121724;111126;107698;14;108981
Jair Bolsonaro;8337209;400000;399941;400000;400000;400000;1;400000
Lula;5379864;400000;328796;265129;375747;179076;2;289397
Luciano Huck;3828727;400000;400000;135032;388918;109992;3;136201
Arthur Lira;3520680;400000;373066;116421;363759;116468;4;130517
Rodrigo Pacheco;3094765;400000;299148;106304;339093;108838;5;151989
Ciro Gomes;2969686;400000;222337;142900;297661;138604;6;155261
Guilherme Boulos;2858750;400000;255839;131849;286976;136720;7;121569
Fernando Haddad;2827493;400000;206844;127714;355755;161722;8;114113
Joao Doria;2065749;400000;171402;114464;188681;104645;9;148726
Flavio Dino;2050399;400000;202146;103818;250169;106466;10;100000
Luiza Trajano;1732390;400000;178201;102672;100000;100237;11;136942
Alexandre Kalil;1549411;400000;184111;100000;100000;100000;12;101759
Rodrigo Maia;1510131;400000;133309;121834;111137;107972;13;108257
Sergio Moro;1237761;400000;100000;100000;100000;100000;14;125353
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Lula;5370851;400000;338811;246406;374589;183776;2;293672
Luciano Huck;3692176;400000;380971;127220;394630;109031;3;136177
Arthur Lira;3448823;400000;370208;113776;362972;113101;4;126510
Rodrigo Pacheco;3045903;400000;300112;105923;340434;109258;5;141821
Ciro Gomes;2976065;400000;222898;139244;306772;134312;6;159606
Guilherme Boulos;2925370;400000;257332;144564;291673;135501;7;118170
Fernando Haddad;2792856;400000;206735;130378;327026;167676;8;112199
Flavio Dino;2056136;400000;203630;105536;237263;110195;9;100000
Joao Doria;1989570;400000;165965;114557;179616;104916;10;143814
Luiza Trajano;1744086;400000;186809;102004;100000;100293;11;131563
Rodrigo Maia;1563530;400000;143086;121032;111104;111066;12;106587
Alexandre Kalil;1547879;400000;184508;100000;100000;100000;13;101114
Sergio Moro;1209449;400000;100000;100000;100000;100000;14;120315
Jair Bolsonaro;7624805;400000;265341;400000;399361;400000;1;400000
Lula;5033050;400000;205791;259316;388581;224268;2;302596
Luciano Huck;3984549;400000;400000;147379;400000;122630;3;135114
Arthur Lira;2864567;400000;246271;118184;367121;121325;4;125272
Ciro Gomes;2655633;400000;152800;143588;300019;150253;5;152417
Rodrigo Pacheco;2578261;400000;217743;107996;327307;109615;6;139188
Guilherme Boulos;2532618;400000;167651;146771;306354;144562;7;115793
Fernando Haddad;2434874;400000;151697;129759;324680;157005;8;111567
Joao Doria;1831684;400000;108428;134023;177926;111841;9;144381
Flavio Dino;1762865;400000;147985;106043;230533;111451;10;101325
Luiza Trajano;1652485;400000;167156;104089;100000;100195;11;131697
Sergio Moro;1418166;400000;100000;111713;100000;129194;12;118956
Rodrigo Maia;1399678;400000;105615;126280;108340;115519;13;104428
Alexandre Kalil;1249305;400000;129159;100000;100000;100000;14;100000
Jair Bolsonaro;8064078;400000;400000;400000;286157;400000;1;400000
Lula;4677758;400000;286292;187655;400000;148823;2;300492
Luciano Huck;3733903;400000;378834;134142;398741;110979;3;135030
Arthur Lira;3511885;400000;393875;114587;314640;121902;4;127312
Rodrigo Pacheco;3163718;400000;319182;106566;334569;105408;5;150219
Fernando Haddad;3035848;400000;215729;147735;353908;173980;6;112078
Ciro Gomes;2870767;400000;224525;136893;284399;130375;7;154879
Guilherme Boulos;2738198;400000;241791;140846;293208;127533;8;109848
Flavio Dino;2130877;400000;217281;105133;237383;107422;9;103353
Joao Doria;2077216;400000;181570;115880;184686;107480;10;138895
Luiza Trajano;1584545;400000;153124;103831;100000;100179;11;133073
Rodrigo Maia;1566020;400000;149017;118366;112133;111221;12;103590
Alexandre Kalil;1537688;400000;183763;100000;100000;100000;13;100000
Sergio Moro;1388171;400000;100000;111629;100000;123527;14;118861
Jair Bolsonaro;8096939;400000;400000;400000;299838;400000;1;400000
Lula;4693643;400000;271762;199014;395605;165443;2;292157
Luciano Huck;3754666;400000;372819;140547;400000;115263;3;133417
Arthur Lira;3584062;400000;395846;120427;318521;132961;4;120631
Rodrigo Pacheco;3231376;400000;329663;107039;347964;105349;5;146255
Fernando Haddad;2968351;400000;208111;147734;344703;172201;6;112781
Ciro Gomes;2922816;400000;219954;141246;292745;136242;7;155096
Guilherme Boulos;2696182;400000;229278;140636;298804;130389;8;109355
Joao Doria;2300474;400000;205724;131165;151024;112512;9;150162
Flavio Dino;2237558;400000;232488;106651;235069;109554;10;105548
Luiza Trajano;1600526;400000;161420;103302;100000;100204;11;128635
Alexandre Kalil;1563212;400000;188596;100000;100000;100000;12;100000
Rodrigo Maia;1552161;400000;145502;117323;119753;110322;13;103051
Sergio Moro;1406519;400000;100000;113857;100000;126805;14;116873
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Lula;3797771;400000;263247;143694;229399;155567;2;277118
Arthur Lira;3543305;400000;385304;119960;328472;134721;3;117906
Luciano Huck;3536190;400000;359239;146612;325401;118278;4;130263
Rodrigo Pacheco;3298425;400000;321475;105181;398560;104687;5;146751
Ciro Gomes;2983967;400000;218014;134690;351530;129842;6;155178
Fernando Haddad;2904554;400000;203695;136032;388350;157238;7;112461
Guilherme Boulos;2704027;400000;222361;134410;339465;129131;8;107359
Flavio Dino;2326235;400000;238533;105496;257348;108200;9;108535
Joao Doria;2177001;400000;198564;118427;149537;107793;10;152825
Rodrigo Maia;1672854;400000;146082;122756;128758;122492;11;103524
Luiza Trajano;1640101;400000;168727;102230;100000;100074;12;130021
Alexandre Kalil;1538660;400000;183947;100000;100000;100000;13;100000
Sergio Moro;1368126;400000;100000;113691;100000;126530;14;110459
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Lula;3978732;400000;270104;143269;230337;169495;2;290236
Arthur Lira;3765205;400000;384211;133054;319244;174500;3;112824
Luciano Huck;3532588;400000;355753;167577;304249;122489;4;116748
Rodrigo Pacheco;3218858;400000;315740;105565;387397;106296;5;140898
Ciro Gomes;3035841;400000;227111;133583;340765;143069;6;149550
Fernando Haddad;3028961;400000;209249;138378;385552;176229;7;110903
Guilherme Boulos;2773131;400000;223077;135222;328870;150035;8;103661
Flavio Dino;2372273;400000;243377;106655;252074;112276;9;109539
Joao Doria;2234063;400000;206208;121183;145709;110854;10;151839
Rodrigo Maia;1722960;400000;148769;125550;125047;129534;11;102247
Alexandre Kalil;1608365;400000;197145;100000;100000;100000;12;100000
Luiza Trajano;1588150;400000;161261;102220;100000;100119;13;127761
Sergio Moro;1418172;400000;100000;115605;100000;136025;14;108774
Jair Bolsonaro;8318600;400000;400000;400000;392122;400000;1;400000
Lula;4146428;400000;311973;137596;236478;155885;2;296269
Arthur Lira;3672726;400000;351744;137304;310766;192525;3;109771
Luciano Huck;3495314;400000;338998;184383;254812;135881;4;117686
Fernando Haddad;3349429;400000;244249;141103;400000;193879;5;110023
Rodrigo Pacheco;3198676;400000;317689;105907;376283;107748;6;138554
Ciro Gomes;3146312;400000;257292;135464;321269;149824;7;141112
Guilherme Boulos;2952986;400000;257307;129525;328181;159521;8;100961
Flavio Dino;2525492;400000;273096;105470;261278;110174;9;108059
Joao Doria;2473918;400000;231452;127883;148224;113484;10;160504
Rodrigo Maia;1924086;400000;184254;126261;124078;134344;11;100000
Alexandre Kalil;1787182;400000;230685;100000;100000;100000;12;100299
Luiza Trajano;1549258;400000;155490;102084;100000;100148;13;126376
Sergio Moro;1469326;400000;100000;117743;100000;144789;14;107723
Jair Bolsonaro;8304032;400000;400000;400000;386057;400000;1;400000
Luciano Huck;3800600;400000;358747;184960;274093;136789;2;143798
Lula;3698343;400000;311741;140156;246183;149956;3;215379
Arthur Lira;3605124;400000;358644;134130;311246;169266;4;115452
Ciro Gomes;3297808;400000;249101;138409;322426;152953;5;169431
Rodrigo Pacheco;3166975;400000;294828;104392;376193;104399;6;159031
Fernando Haddad;3139657;400000;218779;139215;400000;169814;7;120456
Joao Doria;2975293;400000;216559;128459;149970;113873;8;262048
Guilherme Boulos;2870029;400000;233933;132109;328893;159458;9;105287
Flavio Dino;2448020;400000;252570;105944;261947;110461;10;112534
Luiza Trajano;2042449;400000;200735;103428;100000;100139;11;170262
Rodrigo Maia;1810336;400000;158059;129122;124133;135925;12;100000
Alexandre Kalil;1708908;400000;209073;100000;100000;100000;13;106683
Sergio Moro;1152863;400000;100000;100000;100000;100000;14;110244
Jair Bolsonaro;7418004;400000;241850;400000;364914;400000;1;400000
Lula;5070423;400000;304328;201120;238922;173613;2;386001
Luciano Huck;4464219;400000;400000;230706;322691;147687;3;145828
Arthur Lira;2822388;400000;175067;146951;237500;223735;4;117584
Ciro Gomes;2662219;400000;124079;134758;315991;148818;5;184060
Guilherme Boulos;2610723;400000;130609;138963;355688;190112;6;109918
Fernando Haddad;2479975;400000;131722;126685;378149;152343;7;122887
Luiza Trajano;2472826;400000;130548;105092;400000;100122;8;182906
Joao Doria;2449306;400000;107790;127934;142855;112381;9;275607
Rodrigo Pacheco;2119793;400000;143249;103276;368586;103299;10;120524
Flavio Dino;1738654;400000;119089;105790;246428;113821;11;115482
Rodrigo Maia;1605963;400000;100000;129599;122567;156122;12;100000
Sergio Moro;1290783;400000;105239;100000;100000;100000;13;129865
Alexandre Kalil;1206002;400000;112030;100000;100000;100000;14;108394
